6.505,6.8213,10.8305,5.9865,5.8901,8.6065,5.8398,8.7626,5.563,5.8658,5.689,5.4455,5.9057,5.9132,8.1985,8.4121,6.4733,5.5933,7.0599,5.7282,5.4326,7.7938,6.2438,5.4104,6.3373,6.7526,6.1101,7.5847,6.6945,5.8824,3
10.9369,8.0581,11.991,8.8465,8.5682,7.4727,6.0825,5.8846,5.5781,8.4583,7.3021,5.5216,5.6169,8.1825,7.8596,6.1261,6.4737,6.2698,6.1493,6.4716,8.1544,9.0758,6.1315,5.5045,7.206,8.5543,8.4301,7.9969,7.6498,7.3069,2
5.9101,5.7471,5.6875,5.9609,5.9889,6.4561,5.7396,5.724,6.0488,5.7291,5.4913,5.4913,6.5022,6.7715,9.1665,6.6083,7.5698,5.6844,7.2551,9.8938,5.5354,7.9051,5.5012,5.4881,6.9264,5.8802,5.6299,7.8508,7.1139,7.8943,3
10.976,9.2409,8.1686,9.7472,8.3232,6.1547,5.9521,8.4984,6.5131,8.8842,5.8513,5.3646,6.6134,8.1029,7.8416,6.0776,6.1986,6.4868,5.6478,5.9732,7.4989,8.2652,5.8905,6.0812,7.3381,9.1787,7.1851,8.1709,7.7943,6.5264,2
8.2567,8.361,8.1968,12.9333,13.1344,7.4873,6.3344,5.9117,7.1642,9.3447,6.1966,5.9809,7.1558,8.5808,8.4887,10.7237,7.7004,6.7571,5.8603,6.1602,6.933,9.9963,8.2161,6.7637,8.9204,8.1252,7.8799,9.0856,6.9962,8.3202,3
6.1477,11.8297,8.1711,5.7887,5.9674,8.6306,6.5257,11.0223,6.7176,5.5919,8.0307,5.5224,7.1464,8.9118,9.731,7.4865,9.7472,6.186,5.9907,5.8209,5.6482,10.7573,8.4491,6.6504,10.9929,5.9047,5.8301,9.2309,5.7657,5.5473,3
9.3175,13.3228,11.2595,9.2526,7.9228,8.0053,6.4292,6.0349,8.9936,9.2896,5.8707,5.7463,9.0588,6.7133,7.9393,7.8683,6.8132,6.8817,5.7764,5.7319,7.7228,9.8777,6.0005,8.817,7.2332,6.8836,6.1691,9.0905,6.7352,7.0801,2
10.2061,11.321,12.7547,11.3948,10.8233,6.1697,7.7571,10.6378,7.9536,8.4852,7.1049,5.9666,7.7223,7.4564,7.8587,9.5158,6.3471,7.0603,5.779,10.0687,7.7971,8.636,5.8744,7.1583,7.511,9.2125,9.8166,7.3015,7.0003,6.5573,2
5.9429,5.731,5.9633,5.6925,6.007,6.2725,5.6873,9.3779,5.792,5.6753,5.9583,5.3999,5.3701,6.1109,5.4794,5.9071,6.7168,5.757,5.6633,6.0747,5.8469,5.7618,5.4539,5.5129,7.1586,5.7968,5.898,7.9431,6.0988,5.7643,3
8.6838,10.2061,7.7969,7.3576,6.7463,6.0479,5.8461,9.4795,7.1162,7.8291,5.805,5.5406,6.9834,6.7606,8.0177,6.1967,6.0265,6.62,5.867,6.4729,7.364,8.4141,5.902,6.736,7.3588,9.3704,8.0444,7.9539,8.3815,6.8339,2
9.7392,5.8689,8.2867,10.916,10.2407,6.8902,6.0663,5.7534,6.5137,7.9839,5.8881,5.4985,6.6549,6.5959,8.3077,5.8735,6.6636,7.0977,5.7915,8.3143,6.9257,6.9209,6.4511,5.7915,8.0026,9.2601,7.8699,9.1187,6.7662,7.2888,3
9.8423,9.9363,10.2991,11.509,10.718,7.292,6.9468,10.9236,5.7006,8.7632,6.2858,5.5335,5.8718,7.3893,8.1432,6.0871,6.2151,6.1145,5.9114,6.5067,7.6498,7.9153,6.0129,5.6507,6.8353,8.7217,8.6935,8.1191,7.4756,6.3094,2
9.5953,9.8713,10.6502,7.1704,8.0719,6.0324,5.7478,10.0239,8.9976,8.3005,5.8405,5.3726,8.3628,6.1991,7.4072,5.7647,6.465,7.7247,5.6774,5.6224,8.4215,9.5855,6.0631,8.632,7.3356,8.8406,6.9033,6.603,7.2684,6.2607,2
10.6502,12.0646,9.0834,7.4687,9.8455,5.9851,6.8602,9.1028,8.0085,12.6141,5.5006,6.4094,6.994,6.3706,6.5426,7.7283,9.0652,9.4364,9.1061,9.8938,8.6986,8.0946,7.893,6.1477,10.718,5.5231,5.8554,12.5643,6.8382,8.6504,2
9.8969,5.7153,9.5267,6.3872,9.5618,6.0709,5.5335,9.006,8.0975,9.4118,5.5185,6.4652,5.8309,6.172,6.4625,8.0189,5.6224,11.7528,5.8477,8.4887,9.2821,7.1699,7.59,5.5065,10.1439,5.6907,5.7129,6.1434,6.8732,9.3102,2
6.2184,12.1225,9.6436,9.6582,5.6858,11.3312,11.1299,5.7136,9.2576,9.8307,6.0195,5.7925,7.7765,8.8184,6.7347,6.6497,5.4591,11.0469,5.8586,6.2015,5.7734,9.1092,5.9316,7.9145,8.3676,5.7873,6.8382,5.9475,9.5883,8.5301,3
9.8166,5.6552,5.7404,6.6332,8.438,5.9163,5.6314,8.8305,8.6152,6.7996,5.3965,5.9544,5.7243,6.4728,7.3867,8.0458,5.7622,11.3836,5.941,6.2211,8.524,8.0528,8.0821,6.0091,11.9371,5.7521,7.0675,7.8734,6.1873,9.9763,2
